project_id,project_name,min_people,max_people,project_cost,include
0,Nova X,1,2,10000,1
1,Orbit One,2,4,15000,1
2,Lunar Forge,2,4,10000,1
3,SkyCore,2,4,5500,1
4,Quantum Peak,4,6,13500,1
5,Astro Labs,1,2,15000,1
6,Titan Works,1,3,10000,1
7,Solar Drift,1,4,5000,1
8,Nexus X,1,5,10000,1
9,Cosmic Edge,1,6,20000,1
10,Space X ,1,7,18000,1
11,LandiWise,1,8,7500,1
12,ArthemisAI,1,9,10000,1
13,MonopolyP,1,10,10000,1
14,Zenith X,1,6,20000,1
15,Vector One,1,7,18000,1
16,Eclipse Labs,1,8,7500,1
17,Stellar Forge,1,9,10000,1
18,HyperNova,1,10,10000,1
19,Atlas X,1,6,20000,1
20,PulseCore,1,7,18000,1
21,Orion Works,1,8,7500,1
22,TerraX,1,9,10000,1
23,Infinity Labs,1,10,10000,1
