KPI_NAME,KPI_VALUE,SOLUTION_TYPE
cost_of_used_projects,52500.0,Optim
cost_of_used_projects,47500.0,Greedy
nb_of_people,43.0,Greedy
nb_of_people,43.0,Optim
nb_of_people_got_his_her_first_choice,10.0,Greedy
nb_of_people_got_his_her_first_choice,21.0,Optim
nb_of_people_got_his_her_second_choice,10.0,Greedy
nb_of_people_got_his_her_second_choice,3.0,Optim
nb_of_people_not_allocated,15.0,Greedy
nb_of_people_not_allocated,20.0,Optim
nb_of_people_satisfied,19.0,Greedy
nb_of_people_satisfied,23.0,Optim
number_of_projects,24.0,Optim
number_of_projects,24.0,Greedy
number_of_projects_allocated_to_maximum_capacity,2.0,Optim
number_of_projects_allocated_to_maximum_capacity,5.0,Greedy
number_of_projects_allocated_to_minimum_capacity,0.0,Greedy
number_of_projects_allocated_to_minimum_capacity,0.0,Optim
number_of_projects_without_any_allocated_member,19.0,Greedy
number_of_projects_without_any_allocated_member,19.0,Optim
percentage_of_people_got_his_her_first_choice,23.0,Greedy
percentage_of_people_got_his_her_first_choice,48.0,Optim
percentage_of_people_got_his_her_second_choice,23.0,Greedy
percentage_of_people_got_his_her_second_choice,6.0,Optim
percentage_of_people_not_allocated,34.0,Greedy
percentage_of_people_not_allocated,46.0,Optim
percentage_of_people_satisfied,53.0,Optim
percentage_of_people_satisfied,44.0,Greedy
solution_duration,0.161247,Greedy
solution_duration,0.160598,Optim
weighted_satisfaction_score,117.5,Optim
weighted_satisfaction_score,78.0,Greedy
